user_ID,total_messages,profane_messages,avg_angry_score,avg_happy_score,avg_sad_score,avg_surprised_score,avg_fear_score
Tula,40,1,0.027500000000000004,0.07125000000000001,0.14200000000000004,0.19,0.34299999999999997
Porsche,581,2,0.01882960413080894,0.055748709122203075,0.23165232358003443,0.15614457831325307,0.3824268502581756
Danna,24,0,0.022083333333333333,0.013749999999999998,0.17625000000000002,0.23875000000000002,0.42375
Rhona,383,2,0.0392167101827676,0.08950391644908619,0.12548302872062664,0.19522193211488253,0.382793733681462
Chan,2,0,0.0,0.0,0.7,0.3,0.0
Lucina,155,0,0.048774193548387086,0.08212903225806452,0.2065161290322581,0.1882580645161291,0.24825806451612906
Sage,3,0,0.20666666666666667,0.16666666666666666,0.04,0.12666666666666668,0.45999999999999996
Glennie,5,0,0.0,0.05,0.25,0.05,0.25
Zonia,12,0,0.0,0.17333333333333334,0.06916666666666667,0.20750000000000002,0.29833333333333334
Carolyne,1,0,0.25,0.0,0.25,0.25,0.25
Salina,95,0,0.013894736842105262,0.09694736842105259,0.16778947368421043,0.1545263157894736,0.3347368421052632
Rosamond,497,1,0.04313883299798794,0.04712273641851105,0.1636820925553318,0.1747686116700201,0.37366197183098543
Ester,43,1,0.0855813953488372,0.07116279069767444,0.20558139534883724,0.1667441860465116,0.23790697674418607
Lindsey,940,0,0.034319148936170156,0.051446808510638285,0.15044680851063819,0.17844680851063827,0.3487872340425532
Vanessa,6,0,0.0,0.023333333333333334,0.0,0.24166666666666667,0.5683333333333334
Jenette,55,1,0.037818181818181834,0.11636363636363632,0.20472727272727273,0.1890909090909091,0.3061818181818182
Mark,27,0,0.03333333333333333,0.10481481481481482,0.2911111111111111,0.08259259259259258,0.2285185185185185
Debra,4,0,0.125,0.0625,0.2375,0.2375,0.3375
Pasquale,44,0,0.07068181818181819,0.0315909090909091,0.22477272727272724,0.20431818181818182,0.3320454545454546
Agustin,127,1,0.04330708661417322,0.04362204724409449,0.18102362204724412,0.12803149606299205,0.343779527559055
Israel,38,0,0.011842105263157895,0.08421052631578947,0.10526315789473684,0.11605263157894737,0.235
Vivian,334,0,0.046646706586826334,0.03628742514970058,0.19221556886227537,0.19709580838323354,0.3178742514970063
Dung,8,0,0.0625,0.125,0.10625,0.32625000000000004,0.25375
Kathryn,9,0,0.17,0.13333333333333333,0.18888888888888888,0.09999999999999999,0.18444444444444447
Berna,103,1,0.03223300970873788,0.12621359223300982,0.14844660194174755,0.20902912621359224,0.3375728155339804
Shanon,11,0,0.1318181818181818,0.018181818181818184,0.17727272727272725,0.11272727272727275,0.3781818181818182
Brian,9,0,0.0,0.01888888888888889,0.15777777777777777,0.027777777777777776,0.46222222222222226
Charity,25,0,0.033200000000000014,0.1948,0.19279999999999994,0.21919999999999998,0.3192
