user_ID,total_messages,profane_messages,avg_angry_score,avg_happy_score,avg_sad_score,avg_surprised_score,avg_fear_score
Jennifer,7,0,0.011428571428571429,0.0,0.24714285714285714,0.09285714285714286,0.6485714285714286
Joey,4247,2,0.035093006828349545,0.06752295738168126,0.17642335766423337,0.18470214268895746,0.37323993407110984
Tina,117,0,0.059230769230769226,0.07752136752136753,0.252136752136752,0.12615384615384614,0.2366666666666666
Ellis,16,0,0.05937499999999999,0.07,0.283125,0.14687499999999998,0.315
Shara,596,0,0.023305369127516774,0.05325503355704695,0.2219463087248322,0.14271812080536914,0.3571140939597311
Maryam,6,0,0.055,0.02,0.20833333333333334,0.041666666666666664,0.5083333333333333
Vida,2,0,0.0,0.125,0.0,0.0,0.375
Dolores,263,0,0.034296577946768055,0.06448669201520912,0.19121673003802286,0.17498098859315583,0.3407984790874526
Alica,34,0,0.03,0.07205882352941177,0.22558823529411764,0.17205882352941182,0.4397058823529413
Nana,2,0,0.0,0.0,0.0,0.0,0.5
Anjelica,2,0,0.0,0.0,0.0,0.5,0.0
Lance,36,0,0.006944444444444444,0.07861111111111112,0.23055555555555557,0.17833333333333334,0.28277777777777774
Ilene,3,0,0.0,0.0,0.11,0.0,0.89
Marg,7,0,0.015714285714285712,0.17142857142857143,0.20714285714285716,0.2671428571428572,0.3385714285714286
Jammie,841,3,0.04162901307966705,0.04417360285374553,0.16165279429250898,0.16211652794292516,0.35929845422116535
Rosalind,40,0,0.025,0.11025000000000003,0.2245,0.17650000000000002,0.38725
Lee,520,1,0.04419230769230766,0.040442307692307666,0.14557692307692313,0.16457692307692318,0.3700961538461538
Eleanor,44,0,0.040454545454545444,0.052272727272727276,0.14636363636363636,0.07886363636363634,0.45431818181818184
Yajaira,103,0,0.06310679611650485,0.07349514563106799,0.11679611650485439,0.17844660194174752,0.36339805825242716
Nicole,9,0,0.013333333333333332,0.05111111111111111,0.2944444444444445,0.0788888888888889,0.33888888888888885
Lynell,373,0,0.03123324396782843,0.07686327077747981,0.25077747989276133,0.08855227882037527,0.31075067024128694
Vernon,12,0,0.08333333333333333,0.11750000000000001,0.25,0.20833333333333334,0.3399999999999999
Dario,23,0,0.02782608695652174,0.04086956521739131,0.21304347826086958,0.23521739130434782,0.3517391304347826
Dorinda,1295,1,0.03207722007722002,0.0482548262548262,0.12084942084942082,0.13906563706563704,0.3814362934362932
Gil,6,0,0.0,0.055,0.19999999999999998,0.03333333333333333,0.545
Marcellus,14,0,0.020714285714285716,0.02642857142857143,0.09642857142857142,0.40785714285714286,0.37785714285714284
Anabel,3,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0
Cayla,5,0,0.0,0.0,0.48600000000000004,0.158,0.358
Jayna,8,0,0.05875,0.08,0.20625,0.1925,0.335
Marissa,21,0,0.0,0.0461904761904762,0.18523809523809523,0.14857142857142858,0.429047619047619
Shizue,280,0,0.03210714285714287,0.036750000000000026,0.14432142857142852,0.1311785714285713,0.3589642857142857
Ciera,13,0,0.0,0.007692307692307694,0.2823076923076923,0.12923076923076923,0.42615384615384616
Randy,103,2,0.02427184466019417,0.04601941747572815,0.1941747572815534,0.1824271844660194,0.300485436893204
Dianna,31,0,0.005483870967741936,0.0735483870967742,0.07161290322580645,0.19129032258064516,0.49645161290322587
Marty,27,0,0.0,0.04851851851851852,0.14,0.1381481481481482,0.41333333333333333
Burma,2209,0,0.03384789497510188,0.06481213218650964,0.13896333182435505,0.16528746038931644,0.3712449071978273
Shin,13,0,0.07,0.019230769230769232,0.12769230769230772,0.10230769230769231,0.2946153846153846
Jenny,362,2,0.02516574585635361,0.05828729281767953,0.2102486187845304,0.1446408839779005,0.356961325966851
Evan,41,0,0.038292682926829275,0.29439024390243895,0.13975609756097562,0.10317073170731708,0.3021951219512196
Norine,1,0,0.0,0.0,0.5,0.0,0.5
Sheilah,1,0,0.2,0.2,0.2,0.2,0.2
Alvaro,36,0,0.02388888888888889,0.10138888888888888,0.07472222222222222,0.18750000000000003,0.2786111111111111
Moriah,14,0,0.023571428571428573,0.16999999999999998,0.19285714285714287,0.09642857142857143,0.23071428571428573
Malissa,46,0,0.029565217391304344,0.024347826086956535,0.1967391304347826,0.17021739130434782,0.2949999999999999
Weldon,15,0,0.10533333333333333,0.07466666666666667,0.17133333333333337,0.38466666666666666,0.19733333333333333
Digna,14,0,0.0,0.03214285714285714,0.2307142857142857,0.15785714285714286,0.3650000000000001
Arlen,16,0,0.05750000000000001,0.02625,0.25312499999999993,0.15687500000000001,0.38062500000000005
Deidre,2,0,0.085,0.225,0.04,0.185,0.46499999999999997
Tony,124,2,0.03548387096774192,0.10145161290322582,0.16120967741935485,0.19870967741935483,0.23669354838709672
Rocco,29,0,0.011379310344827585,0.1031034482758621,0.08586206896551725,0.1931034482758621,0.22689655172413797
