user_ID,total_messages,profane_messages,avg_angry_score,avg_happy_score,avg_sad_score,avg_surprised_score,avg_fear_score
Melvin,9,0,0.13333333333333333,0.03666666666666667,0.24444444444444446,0.09444444444444446,0.38
Beula,848,4,0.025165094339622624,0.0731957547169811,0.157122641509434,0.15528301886792434,0.32466981132075445
Johana,455,7,0.030659340659340697,0.12107692307692296,0.11076923076923079,0.16806593406593412,0.3383516483516483
Hillary,5,0,0.05,0.0,0.0,0.25,0.3
Rona,37,1,0.006756756756756757,0.05351351351351349,0.23351351351351352,0.11162162162162159,0.21594594594594596
Ciera,782,3,0.059002557544757014,0.06832480818414322,0.1797442455242965,0.12210997442455244,0.2558567774936058
Suellen,756,6,0.03664021164021167,0.06558201058201049,0.12232804232804226,0.14694444444444443,0.23800264550264552
Johnathon,13,0,0.0,0.038461538461538464,0.19230769230769232,0.2,0.10769230769230768
Winnifred,167,0,0.008562874251497007,0.09514970059880236,0.12874251497005978,0.1487425149700598,0.2654491017964073
Reda,1,0,0.0,0.0,0.0,1.0,0.0
Natividad,1,0,0.0,0.0,0.19,0.22,0.59
Alvin,9,0,0.031111111111111114,0.01888888888888889,0.08666666666666667,0.13,0.2888888888888889
Staci,47,1,0.014255319148936168,0.06851063829787235,0.24085106382978716,0.1806382978723404,0.4104255319148935
Meg,1086,6,0.028259668508287292,0.0724217311233886,0.14397790055248594,0.1318324125230202,0.3092357274401473
Marcie,129,0,0.03395348837209303,0.09348837209302324,0.1644961240310078,0.11596899224806205,0.3435658914728682
Hermina,24,0,0.023333333333333334,0.0,0.14916666666666667,0.13291666666666668,0.2779166666666667
Gabrielle,23,1,0.0,0.09347826086956519,0.32565217391304346,0.08521739130434783,0.32130434782608697
Thomasina,273,2,0.031172161172161192,0.07571428571428566,0.20512820512820518,0.20512820512820504,0.33597069597069584
See,1,0,0.0,0.0,0.4,0.0,0.6
Mirna,21,0,0.004761904761904763,0.006666666666666667,0.1490476190476191,0.10095238095238096,0.30904761904761907
Mariano,39,0,0.027435897435897437,0.12846153846153846,0.1428205128205128,0.20256410256410257,0.29282051282051286
Corrine,21,0,0.0,0.08761904761904761,0.15523809523809526,0.13190476190476189,0.2909523809523809
Deann,2,0,0.0,0.0,0.0,0.5,0.0
Rolf,8,0,0.04125,0.025,0.1875,0.28250000000000003,0.21250000000000002
Pasquale,20,0,0.0,0.08149999999999999,0.181,0.1915,0.24500000000000002
Jessie,16,0,0.125,0.036250000000000004,0.05187500000000001,0.198125,0.15125
Vada,180,2,0.01783333333333332,0.058611111111111114,0.1560555555555555,0.13599999999999998,0.2977222222222222
Aimee,14,0,0.017857142857142856,0.014285714285714289,0.265,0.14285714285714285,0.5592857142857144
Rikki,27,0,0.014444444444444446,0.08111111111111112,0.17592592592592593,0.1725925925925926,0.4066666666666667
Thelma,21,0,0.08714285714285715,0.014285714285714285,0.11476190476190477,0.2633333333333333,0.42476190476190484
Meghan,230,0,0.02726086956521739,0.08708695652173908,0.2118695652173913,0.16782608695652168,0.35343478260869565
Cleo,6,1,0.055,0.08333333333333333,0.0,0.25,0.27666666666666667
Lucilla,2,0,0.0,0.0,0.0,0.5,0.5
Ouida,21,0,0.043809523809523805,0.08523809523809524,0.19761904761904764,0.1380952380952381,0.439047619047619
Noemi,28,0,0.06285714285714285,0.021785714285714287,0.28750000000000003,0.1017857142857143,0.3117857142857143
Anna,2,0,0.0,0.0,0.19,0.19,0.625
Robbin,64,0,0.022656250000000006,0.014687500000000001,0.23374999999999999,0.16046875000000002,0.3178125
Collette,357,3,0.025798319327731106,0.04425770308123247,0.1310084033613445,0.12703081232492983,0.3076190476190473
Daniella,2,0,0.0,0.5,0.0,0.0,0.5
Cristine,4,0,0.0825,0.0,0.035,0.19,0.44
Patty,296,0,0.015337837837837848,0.04804054054054055,0.17439189189189186,0.13493243243243241,0.3059121621621621
Deedee,165,0,0.021575757575757592,0.04018181818181819,0.13690909090909087,0.1906666666666667,0.32527272727272705
Britta,4,0,0.0,0.0,0.625,0.125,0.0
Temika,22,0,0.015909090909090907,0.05681818181818183,0.1427272727272727,0.16954545454545455,0.3868181818181819
Annalee,11,0,0.0,0.13545454545454544,0.11363636363636363,0.09727272727272726,0.37999999999999995
Simon,3,0,0.0,0.0,0.4666666666666666,0.13333333333333333,0.06666666666666667
Blossom,6,0,0.0,0.07,0.26,0.17666666666666667,0.3283333333333333
Clarence,4,0,0.0,0.0625,0.225,0.32,0.39249999999999996
Holli,64,2,0.027968749999999997,0.13453124999999996,0.07453125000000001,0.13796875,0.17109374999999996
Yessenia,14,0,0.0,0.023571428571428573,0.13071428571428573,0.11285714285714286,0.375
Rolland,10,0,0.1,0.1,0.083,0.16699999999999998,0.35
Romona,8,0,0.0,0.0,0.09375,0.135,0.52125
Dave,6,0,0.041666666666666664,0.05833333333333333,0.05833333333333333,0.03333333333333333,0.14166666666666664
Gabriele,373,0,0.05737265415549596,0.04664879356568361,0.18485254691689013,0.1782841823056301,0.3822252010723863
Willena,8,0,0.08499999999999999,0.1375,0.12625,0.2,0.45
Norris,12,1,0.0,0.0,0.04833333333333334,0.16666666666666666,0.285
Bruno,263,4,0.033193916349809886,0.1133079847908745,0.14076045627376427,0.1554372623574144,0.34798479087452466
Martha,47,0,0.010638297872340425,0.1170212765957447,0.10659574468085106,0.19,0.2774468085106383
Dorothy,9,0,0.05555555555555555,0.0,0.14444444444444446,0.2888888888888889,0.2888888888888889
